job_id,energy_qpu_kwh,energy_cpu_kwh,energy_total_kwh,cost_energy_total,phi_qpu,phi_cpu,qpu_time_s,cpu_time_s,qpu_phase_s,qpu_idle_s,qpu_wait_s,cpu_wait_s,wait_total_s,qpu_turn_s,cpu_turn_s,turn_total_s,job_turnaround_s
64,0.2453,0.0001,0.2454,0.0442,0.9995925020374897,0.0004074979625101875,14.1288,0.058,17.1288,3.0,0.0,0.0,0.0,17.128800000000002,0.057999999999999996,17.1868,17.1913
65,0.2013,0.0,0.2014,0.0362,0.999503475670308,0.0,10.872,0.0144,14.8718,3.9998,0.0,0.0,0.0,14.871800000000004,0.014400000000000001,14.886200000000004,14.8853
66,0.2128,0.0202,0.2331,0.042,0.9129129129129129,0.08665808665808665,11.7876,12.5662,30.787,18.9994,0.0,0.0,0.0,30.786999999999995,12.566199999999998,43.353199999999994,45.3527
67,0.2415,0.0024,0.244,0.0439,0.9897540983606558,0.009836065573770491,13.3776,1.4467,26.377,12.9994,0.0,0.0,0.0,26.377,1.4467,27.8237,29.8251
68,0.2446,0.0001,0.2447,0.044,0.9995913363302003,0.0004086636697997548,13.2084,0.0509,15.2086,2.0002,0.0,0.0,0.0,15.208599999999999,0.050899999999999994,15.2595,15.2555
69,0.2503,0.0036,0.2539,0.0457,0.9858211894446632,0.014178810555336745,13.6884,2.1523,39.6881,25.9997,0.0,0.0,0.0,39.6881,2.1523,41.840399999999995,43.8438
70,0.1153,0.0003,0.1156,0.0208,0.9974048442906575,0.0025951557093425604,6.8232,0.2021,9.8236,3.0004,0.0,0.0,0.0,9.823599999999999,0.2021,10.025699999999999,10.0226
71,0.1065,0.0032,0.1097,0.0197,0.9708295350957156,0.02917046490428441,6.0552,2.0075,40.0553,34.0001,0.0,0.0,0.0,40.0553,2.0075,42.0628,42.0676
72,0.3601,0.0,0.3602,0.0648,0.9997223764575235,0.0,20.4708,0.0129,20.4706,0.0,0.0,0.0,0.0,20.470599999999997,0.0129,20.483499999999996,20.4786
73,0.2044,0.0001,0.2045,0.0368,0.9995110024449878,0.000488997555012225,11.322,0.0574,12.3218,0.9998,0.0,0.0,0.0,12.321800000000001,0.05740000000000001,12.3792,12.3839
74,0.296,0.0001,0.296,0.0533,1.0,0.00033783783783783786,17.0484,0.0387,17.0482,0.0,0.0,0.0,0.0,17.0482,0.0387,17.0869,17.0918
75,0.2601,0.0,0.2602,0.0468,0.9996156802459647,0.0,15.6072,0.0208,15.6065,0.0,0.0,0.0,0.0,15.606499999999997,0.0208,15.627299999999996,15.6243
76,0.3327,0.0083,0.3411,0.0614,0.9753737906772207,0.02433304016417473,18.1956,5.1149,43.1961,25.0005,0.0,0.0,0.0,43.196099999999994,5.1149000000000004,48.31099999999999,49.8118
77,0.1725,0.0015,0.174,0.0313,0.9913793103448276,0.008620689655172415,9.4344,0.9294,31.4347,22.0003,0.0,0.0,0.0,31.434700000000007,0.9294,32.36410000000001,34.3672
78,0.1326,0.0029,0.1355,0.0244,0.9785977859778596,0.02140221402214022,7.0728,1.7475,19.0723,11.9995,0.0,0.0,0.0,19.072300000000006,1.7475,20.819800000000004,21.3153
79,0.0759,0.0016,0.0776,0.014,0.9780927835051545,0.020618556701030927,4.1532,1.1019,28.1535,24.0003,0.0,0.0,0.0,28.153499999999998,1.1019,29.255399999999998,29.7569
80,0.3576,0.0003,0.3579,0.0644,0.9991617770326906,0.0008382229673093042,20.0652,0.1863,24.066,4.0008,0.0,0.0,0.0,24.066000000000003,0.1863,24.2523,24.249
81,0.1169,0.0071,0.124,0.0223,0.942741935483871,0.05725806451612903,6.3936,4.9038,14.3929,7.9993,0.0,0.0,0.0,14.392900000000001,4.9037999999999995,19.2967,21.2988
82,0.2869,0.0003,0.2872,0.0517,0.9989554317548746,0.001044568245125348,16.308,0.1776,18.3078,1.9998,0.0,0.0,0.0,18.3078,0.1776,18.485400000000002,18.4832
83,0.2364,0.0169,0.2532,0.0456,0.9336492890995262,0.06674565560821485,13.0908,10.842,31.091,18.0002,0.0,0.0,0.0,31.091000000000008,10.842,41.93300000000001,44.9297
84,0.2187,0.0,0.2187,0.0394,1.0,0.0,12.1104,0.0146,12.1105,0.0001,0.0,0.0,0.0,12.110500000000002,0.0146,12.125100000000002,12.1204
85,0.3196,0.0,0.3196,0.0575,1.0,0.0,18.1656,0.0149,18.1658,0.0002,0.0,0.0,0.0,18.1658,0.014899999999999998,18.1807,18.1851
86,0.2039,0.01,0.2138,0.0385,0.9536950420954163,0.046772684752104776,10.872,6.4803,28.8719,17.9999,0.0,0.0,0.0,28.871899999999997,6.480299999999999,35.352199999999996,36.3525
87,0.2761,0.0,0.2761,0.0497,1.0,0.0,15.096,0.0127,15.0955,0.0,0.0,0.0,0.0,15.095499999999998,0.0127,15.108199999999998,15.1045
88,0.1875,0.0,0.1875,0.0337,1.0,0.0,10.3836,0.0083,10.3837,0.0001,0.0,0.0,0.0,10.383699999999997,0.0083,10.391999999999998,10.391
89,0.0724,0.0,0.0725,0.013,0.9986206896551726,0.0,3.9108,0.0307,3.9108,0.0,0.0,0.0,0.0,3.9107999999999996,0.030699999999999995,3.9414999999999996,3.9425
90,0.3322,0.0015,0.3337,0.0601,0.9955049445609829,0.004495055439017082,18.1656,0.944,25.1656,7.0,0.0,0.0,0.0,25.165599999999998,0.944,26.109599999999997,26.1092
91,0.2427,0.0,0.2427,0.0437,1.0,0.0,12.786,0.0324,12.7863,0.0003,0.0,0.0,0.0,12.7863,0.0324,12.818700000000002,12.8218
92,0.0757,0.0003,0.076,0.0137,0.9960526315789474,0.003947368421052632,4.3632,0.1675,5.3639,1.0007,0.0,0.0,0.0,5.363899999999999,0.1675,5.5314,5.5307
93,0.073,0.0001,0.0731,0.0132,0.9986320109439124,0.0013679890560875515,4.2624,0.0415,8.2622,3.9998,0.0,0.0,0.0,8.2622,0.0415,8.3037,8.3059
94,0.2368,0.0005,0.2373,0.0427,0.9978929624947324,0.002107037505267594,12.786,0.2852,13.7864,1.0004,0.0,0.0,0.0,13.7864,0.2852,14.0716,15.0741
95,0.33,0.0007,0.3307,0.0595,0.9978832778953736,0.0021167221046265497,17.5992,0.4405,17.599,0.0,0.0,0.0,0.0,17.598999999999997,0.4405,18.039499999999997,20.5399
96,0.1376,0.0127,0.1503,0.0271,0.9155023286759815,0.08449767132401863,7.8216,7.9068,28.8217,21.0001,0.0,0.0,0.0,28.821700000000007,7.9068,36.728500000000004,38.7302
97,0.2878,0.0,0.2878,0.0518,1.0,0.0,16.1472,0.0161,16.1474,0.0002,0.0,0.0,0.0,16.147399999999998,0.0161,16.1635,16.1609
98,0.2381,0.0003,0.2384,0.0429,0.9987416107382551,0.0012583892617449664,13.902,0.1562,18.9021,5.0001,0.0,0.0,0.0,18.9021,0.15619999999999998,19.0583,19.0567
99,0.2941,0.0107,0.3048,0.0549,0.9648950131233595,0.03510498687664042,16.5024,6.2383,29.5018,12.9994,0.0,0.0,0.0,29.501799999999996,6.238299999999999,35.7401,36.7412
100,0.1862,0.0,0.1863,0.0335,0.9994632313472894,0.0,10.872,0.0109,12.8719,1.9999,0.0,0.0,0.0,12.871900000000004,0.010899999999999998,12.882800000000003,12.8818
101,0.3111,0.0098,0.3209,0.0578,0.9694608912433779,0.030539108756621997,17.454,5.9132,34.4546,17.0006,0.0,0.0,0.0,34.4546,5.9132,40.3678,40.3663
102,0.1352,0.0003,0.1355,0.0244,0.9977859778597784,0.0022140221402214017,6.9516,0.1696,6.9512,0.0,0.0,0.0,0.0,6.9512,0.1696,7.1208,7.1159
103,0.1476,0.0004,0.148,0.0266,0.9972972972972974,0.002702702702702703,8.0736,0.24,8.0736,0.0,0.0,0.0,0.0,8.073599999999999,0.24,8.3136,8.3117
